ID,Adresse,Beschreibung,Nummer,Auch mit Gebühr,created,likes,Status,status_reason,position
6,"Mariannenstraße 4, 10997 Berlin",description,10,False,2020-09-16T14:52:03.991145+00:00,,planning,Begründung zum Status,"52.5012950575896,13.4237105786681"
7,"PHO, Adalbertstrasse 9, Berlin, 10999",description,8,False,2020-09-16T14:52:04.018763+00:00,,planning,Begründung zum Status,"13.4191517561858,52.5007651189542"
8,"Mariannenplatz 24, 10997 Berlin",description,4,False,2020-09-16T14:52:04.027122+00:00,,planning,Begründung zum Status,"13.4265535625645,52.504419641109"
9,"Mehringdamm 1, 10965 Berlin",Test-Kommentärchen,1,True,2020-09-17T12:48:22.968588+00:00,,report_new,,"52.489505,13.386379"
167,"Mariannenstraße 4, 10997 Berlin",Es fehlenRadbügel an der Kreuzung.In der Nähe gelegene Bügel (zw. Naunyn und Heini) sind zu 100% ausgelastet. Viele Falschparker im 5m Berei,12,False,2019-09-11T11:37:19+00:00,,report_verification,,"52.5011950575896,13.4237105786681"
168,"PHO, Adalbertstrasse 9, Berlin, 10999",Hier ist es sehr eng auf dem Bürgersteig. Es gibt keine Möglichkeit sein Fahrrad anzuschließen.,10,False,2019-09-11T11:40:18+00:00,,report_verification,,"52.5006651189542,13.4191517561858"
169,"Mariannenplatz 24, 10997 Berlin",Vor dem Haus sind viele Räder abgestellt. Über die Nacht stehen gut 15 Räder vor dem Haus. Lieber auf ehem. Autoparkplatz als Gehweg.,6,False,2019-09-11T11:43:06+00:00,,report_verification,,"52.504319641109,13.4265535625645"
170,"Mariannenplatz 7, 10997 Berlin",Sperrfläche als Gehwegvorstreckung ausbauen und mit Fahrradbügeln am Rand erweitern.,4,False,2019-09-11T11:49:46+00:00,,report_verification,,"52.5017763057975,13.424252127529"
171,"Mariannenplatz 6, 10997 Berlin",Sperrfläche als Gehwegvorstreckung ausbauen und mit Fahrradbügeln am Rand erweitern.,4,False,2019-09-11T11:50:36+00:00,,report_verification,,"52.5018168915452,13.4240632864303"
172,"Großbeerenstraße 42, 10965 Berlin",Beim Cafe Vereinszimmer halten jeden morgen viele Menschen für einen kurzen Kaffee. Gleichzeitig wird dort oft gefährlich rechts abgebogen.,3,False,2019-09-11T11:53:32+00:00,,report_verification,,"52.4900487909801,13.3824027120866"
173,"Gneisenaustraße 2, 10961 Berlin",Vor der Commerzbank,4,False,2019-09-11T11:55:21+00:00,,report_verification,,"52.4925690871462,13.3879627257609"
174,"Waxing Company® - Kreuzberg, Bergmannstr. 5, Berlin, 10961","Vor dem Edeke/Gesundheitszentrum könnte man noch mehr Fahrradbügel gebrauchen, damit der Bürgersteig ganz frei von Rädern ist.",12,False,2019-09-11T11:56:07+00:00,,report_verification,,"52.4897472515868,13.3884569337614"
175,"Köthener Straße 3, 10963 Berlin",Vor dem BMU/der GIZ werden oft Fahrräder geklaut und es gibt nicht genug Ständer.,12,False,2019-09-11T11:59:11+00:00,,report_verification,,"52.5070546428581,13.3771169008227"
176,"Katzbachstraße 24, 10965 Berlin",Beim Cafe Freiraum wird es eng auf dem Bürgersteig.,2,False,2019-09-11T12:01:42+00:00,,report_verification,,"52.4862284613476,13.3765378558585"
177,"Möckernstraße 73, 10965 Berlin",Bei der Pizzeria +39 kommen viele Menschen mit dem Fahrrad.,3,False,2019-09-11T12:02:41+00:00,,report_verification,,"52.4897305271335,13.3793767089786"
178,"Hagelberger Straße 2, 10965 Berlin",Bei Vanille-Marille ist es sehr eng auf dem Bürgersteig.,6,False,2019-09-11T12:03:45+00:00,,report_verification,,"52.4913515052709,13.3861714538634"
179,"Kreuzbergstraße 1, 10965 Berlin",Bar Italia/Pizzeria Primavera. Extrem eng auf dem Bürgersteig außerdem oft Falschparker auf dem Fahrradweg.,6,False,2019-09-11T12:05:09+00:00,,report_verification,,"52.4901045593694,13.3860534223554"
180,"Mehringdamm 66, 10961 Berlin",Viel zu enger Bürgersteig. Sehr gefährliche bisherige Parkbügel neben engem Radweg (generelles Problem auf dieser Seite des Mehringdamms),2,False,2019-09-11T12:06:47+00:00,,report_verification,,"52.4906321478855,13.3863515160278"
181,"Yorck, Yorckstr. 86, Berlin, 10965",Vor dem Kino ist das häufig für die restlichen Verkehrsteilnehmer eine Katastrophe ...,12,False,2019-09-11T12:08:01+00:00,,report_verification,,"52.4930883860509,13.3853462258984"
182,"Oranienstraße 176, 10999 Berlin",Viele informell abgestellteRäder imKreuzungsbereich auf dem eh schon viel zu engenGehweg.Abhilfe könntenRadbügel auf Gehwegvorstreckung sein,12,False,2019-09-11T12:09:58+00:00,,report_verification,,"52.5012715448305,13.4192917045584"
183,"Yorckstraße 3, 10965 Berlin",Café,2,False,2019-09-11T12:10:25+00:00,,report_verification,,"52.4933553388771,13.3867505769892"
184,"Dieffenbachstraße 63, 10967 Berlin",Viele Fahrräder auf dem Bürgersteig.,4,False,2019-09-11T12:11:39+00:00,,report_verification,,"52.4931047139462,13.4149999267654"
185,"Chamissoplatz 8, 10965 Berlin",Am Chamissoplatz fehlen sowohl für den Spielplatz als auch für den Wochenmarkt (Ökomarkt) Fahrradbügel.,5,False,2019-09-11T12:11:46+00:00,,report_verification,,"52.4884508465081,13.3915871749691"
186,"Koppenstraße 3, 10243 Berlin",Überbreite Straßen und kaum Bügel auf der Westseite des Ostbahnhofs. Gerne auch regengeschützt unter Brücke.,12,True,2019-09-11T12:12:15+00:00,,report_verification,,"52.5109074448805,13.4325514121626"
