section_id,killed,severely_injured,slightly_injured,source,risk_level,side,name,category,borough,is_road,suffix
"62380001","0","0","2","Polizei Berlin: Unfälle mit Radfahrenden, Daten aus 2017-2018 und 
Unfallatlas, Statistische Ämter des Bundes und der Länder, Daten aus 2019","1","2",Adlergestell /  Godbersenstraße,II,Treptow-Köpenick,"0",
"54410004","0","0","0","Polizei Berlin: Unfälle mit Radfahrenden, Daten aus 2017-2018 und 
Unfallatlas, Statistische Ämter des Bundes und der Länder, Daten aus 2019","0","2",Ortolfstraße /  Brigittenweg /  Siriusstraße,IV,Treptow-Köpenick,"0",
"51450012","0","0","1","Polizei Berlin: Unfälle mit Radfahrenden, Daten aus 2017-2018 und 
Unfallatlas, Statistische Ämter des Bundes und der Länder, Daten aus 2019","1","2",Rudower Straße /  Lipschitzallee,II,Neukölln,"0",
"48600029","0","1","0","Polizei Berlin: Unfälle mit Radfahrenden, Daten aus 2017-2018 und 
Unfallatlas, Statistische Ämter des Bundes und der Länder, Daten aus 2019","1","2",Prenzlauer Promenade /  Granitzstraße /  Rothenbachstraße,I,Pankow,"0",
"47600023","0","0","0","Polizei Berlin: Unfälle mit Radfahrenden, Daten aus 2017-2018 und 
Unfallatlas, Statistische Ämter des Bundes und der Länder, Daten aus 2019","0","2",Stiftsweg /  Amalienpark /  Hadlichstraße /  Breite Straße /  Damerowstraße,III,Pankow,"0",
"53610020","0","0","0","Polizei Berlin: Unfälle mit Radfahrenden, Daten aus 2017-2018 und 
Unfallatlas, Statistische Ämter des Bundes und der Länder, Daten aus 2019","0","2",Egon-Erwin-Kisch-Straße /  Ernst-Barlach-Straße,III,Lichtenberg,"0",
"43610021","0","0","1","Polizei Berlin: Unfälle mit Radfahrenden, Daten aus 2017-2018 und 
Unfallatlas, Statistische Ämter des Bundes und der Länder, Daten aus 2019","1","2",Lindauer Allee /  Residenzstraße,II,Reinickendorf,"0",
"53610005","0","0","0","Polizei Berlin: Unfälle mit Radfahrenden, Daten aus 2017-2018 und 
Unfallatlas, Statistische Ämter des Bundes und der Länder, Daten aus 2019","0","2",Wartenberger Weg /  Egon-Erwin-Kisch-Straße /  Hagenower Ring /  Ernst-Barlach-Straße,II,Lichtenberg,"0",
"53600034","0","0","0","Polizei Berlin: Unfälle mit Radfahrenden, Daten aus 2017-2018 und 
Unfallatlas, Statistische Ämter des Bundes und der Länder, Daten aus 2019","0","2",Egon-Erwin-Kisch-Straße,III,Lichtenberg,"0",
"46600057","0","0","1","Polizei Berlin: Unfälle mit Radfahrenden, Daten aus 2017-2018 und 
Unfallatlas, Statistische Ämter des Bundes und der Länder, Daten aus 2019","1","2",Heinrich-Mann-Platz /  Heinrich-Mann-Straße,II,Pankow,"0",
